2024-01-23 19:14:02,447 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Configure stats pid to 26424
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yzm\.config\wandb\settings
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Loading settings from C:\data\CS181\lunarlander\wandb\settings
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'a2c.py', 'program_abspath': 'C:\\data\\CS181\\lunarlander\\a2c.py', 'program': 'C:\\data\\CS181\\lunarlander\\a2c.py'}
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:_log_setup():526] Logging user logs to C:\data\CS181\lunarlander\wandb\run-20240123_191402-v7rbku0l\logs\debug.log
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:_log_setup():527] Logging internal logs to C:\data\CS181\lunarlander\wandb\run-20240123_191402-v7rbku0l\logs\debug-internal.log
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:init():566] calling init triggers
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:init():616] starting backend
2024-01-23 19:14:02,448 INFO    MainThread:26424 [wandb_init.py:init():620] setting up manager
2024-01-23 19:14:02,449 INFO    MainThread:26424 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-23 19:14:02,450 INFO    MainThread:26424 [wandb_init.py:init():628] backend started and connected
2024-01-23 19:14:02,454 INFO    MainThread:26424 [wandb_init.py:init():720] updated telemetry
2024-01-23 19:14:02,501 INFO    MainThread:26424 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-23 19:14:04,039 INFO    MainThread:26424 [wandb_run.py:_on_init():2254] communicating current version
2024-01-23 19:14:05,502 INFO    MainThread:26424 [wandb_run.py:_on_init():2263] got version response 
2024-01-23 19:14:05,502 INFO    MainThread:26424 [wandb_init.py:init():804] starting run threads in backend
2024-01-23 19:14:11,854 INFO    MainThread:26424 [wandb_run.py:_console_start():2233] atexit reg
2024-01-23 19:14:11,854 INFO    MainThread:26424 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-23 19:14:11,854 INFO    MainThread:26424 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-23 19:14:11,854 INFO    MainThread:26424 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-23 19:14:11,854 INFO    MainThread:26424 [wandb_init.py:init():847] run started, returning control to user process
2024-01-23 21:01:24,416 WARNING MsgRouterThr:26424 [router.py:message_loop():77] message_loop has been closed
